left,right,clue,target,response_list,response_mean
Colorless,Colorful,salad,70,"[67, 47, 87, 55, 76, 82, 72, 76, 72, 76, 74, 64, 98, 13, 77, 61, 81, 90, 86, 73, 78, 93, 58, 64, 67, 49, 95, 81, 62, 73, 52, 55, 49, 59, 95, 51, 100, 88, 78, 76]",71.25
Dangerous,Safe,skateboarding,40,"[23, 58, 30, 66, 22, 20, 39, 21, 39, 6, 24, 22, 22, 44, 28, 31, 39, 75, 9, 43, 37, 72, 31, 64, 71, 25, 33, 35, 29, 8, 0, 38, 26, 35, 95, 55, 4, 36, 37, 33]",35.625
Dangerous,Safe,watch TV at home,95,"[90, 90, 93, 98, 78, 84, 51, 68, 94, 54, 83, 95, 87, 100, 87, 56, 89, 97, 87, 88, 50, 98, 98, 90, 87, 58, 96, 85, 93, 98, 92, 88, 96, 96, 88, 93, 92, 85, 100, 91]",86.075
Dark,Light,batman,15,"[16, 19, 28, 25, 55, 11, 3, 11, 0, 19, 8, 25, 4, 10, 15, 55, 17, 25, 15, 17, 19, 5, 4, 22, 26, 12, 12, 35, 8, 10, 22, 1, 49, 21, 17, 20, 13, 17, 22, 60]",19.325
Dark,Light,grey,50,"[49, 46, 49, 51, 49, 49, 49, 21, 85, 49, 49, 52, 35, 50, 35, 68, 25, 52, 33, 48, 48, 8, 49, 51, 51, 50, 28, 52, 49, 53, 47, 49, 49, 92, 95, 49, 2, 34, 48, 49]",47.425
Deep thought,Shallow thought,solving complex problems,10,"[0, 10, 4, 7, 13, 9, 0, 7, 67, 8, 0, 10, 0, 7, 9, 9, 87, 12, 19, 3, 13, 5, 0, 10, 8, 16, 17, 16, 3, 20, 6, 4, 10, 9, 5, 8, 5, 6, 9, 7]",11.45
Deep thought,Shallow thought,want to eat pizza,80,"[57, 82, 95, 74, 100, 83, 79, 72, 90, 79, 12, 94, 67, 81, 88, 70, 90, 98, 81, 70, 61, 97, 79, 40, 82, 69, 48, 83, 100, 88, 82, 85, 88, 82, 92, 87, 8, 69, 49, 75]",75.65
Difficult to use,Easy to use,skateboard,35,"[2, 35, 32, 42, 52, 38, 49, 19, 25, 37, 9, 21, 35, 39, 47, 35, 25, 49, 27, 59, 0, 29, 85, 16, 60, 42, 36, 11, 49, 23, 38, 25, 54, 41, 33, 40, 31, 49, 3, 35]",34.425
Difficult to use,Easy to use,sewing pins,55,"[48, 72, 46, 35, 66, 42, 58, 55, 52, 45, 29, 38, 63, 79, 29, 20, 51, 34, 41, 62, 28, 49, 49, 51, 33, 49, 4, 23, 31, 49, 99, 25, 54, 52, 27, 43, 39, 36, 70, 19]",44.875
Dry food,Wet food,saltines,5,"[2, 3, 7, 8, 94, 8, 25, 0, 3, 3, 0, 31, 2, 5, 3, 1, 0, 4, 1, 26, 49, 0, 49, 0, 1, 50, 100, 65, 7, 10, 0, 0, 57, 8, 0, 44, 0, 28, 2, 3]",17.475
Dry food,Wet food,steak,60,"[25, 69, 33, 51, 60, 45, 68, 72, 95, 39, 84, 35, 9, 26, 26, 10, 76, 43, 51, 71, 62, 71, 70, 63, 59, 30, 14, 26, 49, 51, 24, 6, 49, 80, 66, 74, 49, 72, 49, 48]",50.0
Easy to do,Hard to do,drive,45,"[59, 73, 43, 59, 8, 49, 25, 46, 68, 43, 44, 50, 14, 44, 12, 29, 65, 29, 20, 16, 58, 19, 57, 33, 49, 82, 73, 22, 49, 81, 14, 9, 42, 72, 66, 56, 37, 66, 51, 56]",44.7
Easy to do,Hard to do,become a doctor,90,"[87, 79, 92, 94, 96, 92, 87, 75, 93, 91, 64, 96, 92, 79, 97, 82, 58, 90, 86, 83, 66, 79, 73, 93, 91, 91, 75, 92, 50, 95, 93, 79, 92, 86, 100, 99, 96, 14, 88, 85]",83.75
Funny topic,Serious topic,awkward,35,"[41, 16, 44, 50, 19, 0, 14, 37, 49, 31, 32, 26, 17, 49, 8, 49, 72, 49, 83, 39, 51, 60, 82, 49, 32, 27, 50, 49, 48, 64, 73, 22, 33, 61, 32, 20, 40, 0, 49, 32]",39.975
Funny topic,Serious topic,cancer,85,"[70, 80, 78, 79, 97, 100, 87, 100, 93, 85, 85, 84, 100, 90, 91, 100, 100, 94, 100, 100, 100, 100, 89, 100, 100, 90, 95, 94, 100, 100, 100, 100, 59, 11, 91, 97, 99, 49, 94, 97]",89.45
Happens slowly,Happens suddenly,snail walking,10,"[0, 10, 10, 8, 59, 14, 1, 3, 14, 16, 4, 8, 0, 5, 0, 1, 18, 1, 0, 18, 2, 1, 9, 10, 8, 14, 0, 8, 1, 5, 23, 5, 7, 0, 100, 4, 2, 5, 20, 9]",10.575
Happens slowly,Happens suddenly,accident,85,"[88, 100, 82, 88, 88, 100, 84, 77, 94, 82, 100, 87, 88, 99, 96, 100, 97, 56, 86, 84, 16, 87, 94, 96, 79, 91, 95, 81, 76, 95, 94, 83, 67, 77, 77, 94, 65, 88, 72, 88]",84.775
Hard to pronounce,Easy to pronounce,Schwarzenegger,30,"[70, 14, 10, 18, 76, 11, 2, 27, 17, 35, 24, 27, 23, 35, 11, 33, 56, 42, 83, 26, 12, 76, 25, 8, 14, 19, 29, 20, 22, 96, 36, 55, 24, 43, 25, 38, 26, 77, 19, 22]",33.15
Hard to pronounce,Easy to pronounce,cat,100,"[100, 97, 100, 100, 67, 100, 100, 83, 96, 100, 100, 89, 100, 100, 95, 99, 100, 96, 100, 78, 91, 89, 99, 97, 99, 100, 100, 99, 100, 90, 100, 98, 96, 100, 94, 100, 100, 98, 91, 95]",95.9
Hard to remember,Easy to remember,difficult words,25,"[8, 33, 32, 0, 29, 12, 11, 31, 14, 19, 12, 10, 9, 19, 2, 6, 0, 0, 18, 14, 14, 4, 36, 0, 10, 20, 9, 20, 12, 18, 23, 33, 7, 11, 13, 17, 24, 71, 11, 50]",17.05
Hard to remember,Easy to remember,mindful,70,"[77, 78, 58, 61, 92, 82, 41, 86, 61, 44, 69, 75, 63, 89, 71, 52, 73, 49, 88, 75, 79, 64, 82, 76, 72, 59, 65, 82, 76, 49, 62, 49, 95, 43, 72, 83, 49, 84, 84, 68]",69.425
Hot,Cold,lukewarm coffee,35,"[45, 77, 52, 36, 57, 50, 49, 49, 37, 27, 51, 50, 28, 92, 42, 89, 50, 73, 63, 25, 51, 50, 64, 40, 53, 49, 48, 41, 51, 49, 45, 49, 50, 50, 35, 57, 55, 3, 70, 42]",49.85
Hot,Cold,early winter,70,"[82, 82, 83, 77, 79, 72, 94, 72, 81, 76, 59, 84, 70, 75, 78, 70, 94, 76, 61, 76, 65, 72, 82, 90, 73, 82, 100, 56, 70, 72, 85, 99, 38, 89, 74, 77, 80, 65, 64, 78]",76.3
Inessential,Essential,useless,15,"[0, 19, 22, 0, 79, 0, 4, 15, 10, 4, 27, 10, 16, 6, 20, 3, 17, 47, 26, 4, 12, 4, 72, 16, 2, 6, 18, 0, 8, 2, 4, 9, 6, 0, 100, 0, 1, 72, 0, 0]",16.525
Inessential,Essential,going to work,80,"[62, 96, 90, 96, 80, 74, 80, 87, 84, 78, 82, 81, 100, 55, 81, 91, 100, 93, 85, 67, 66, 81, 100, 78, 87, 88, 92, 100, 78, 80, 98, 98, 82, 83, 89, 76, 90, 81, 76, 92]",84.425
Limited,Infinite,exclusive,5,"[3, 9, 11, 22, 17, 9, 3, 3, 24, 4, 12, 23, 13, 8, 5, 73, 0, 14, 0, 28, 9, 2, 33, 5, 1, 14, 0, 13, 10, 93, 2, 18, 0, 7, 95, 8, 1, 14, 30, 21]",16.425
Limited,Infinite,the universe,95,"[100, 72, 96, 100, 98, 100, 100, 100, 100, 100, 99, 100, 86, 96, 100, 86, 92, 80, 88, 97, 1, 97, 95, 100, 55, 100, 91, 100, 80, 98, 93, 94, 100, 78, 83, 83, 100, 100, 81, 88]",90.175
Low calorie,High calorie,sandwich,50,"[50, 88, 49, 51, 68, 76, 84, 49, 57, 27, 51, 57, 66, 50, 49, 51, 66, 24, 61, 51, 77, 74, 65, 62, 24, 49, 65, 65, 66, 51, 51, 41, 46, 49, 65, 20, 61, 49, 69, 83]",56.425
Low calorie,High calorie,hot fudge sundae,90,"[97, 87, 88, 97, 100, 86, 79, 88, 98, 52, 100, 99, 86, 76, 93, 78, 100, 80, 86, 28, 86, 61, 100, 85, 96, 89, 77, 100, 89, 68, 100, 80, 86, 85, 87, 86, 87, 88, 83, 88]",85.475
Low quality,High quality,Walmart,45,"[35, 44, 39, 42, 77, 49, 37, 63, 37, 19, 74, 88, 58, 9, 38, 13, 34, 75, 13, 99, 62, 88, 50, 49, 20, 35, 82, 49, 25, 48, 45, 74, 4, 48, 90, 26, 39, 34, 74, 11]",47.4
Low quality,High quality,Macy's,65,"[51, 55, 70, 67, 62, 57, 61, 42, 76, 77, 80, 66, 49, 79, 73, 64, 100, 51, 51, 56, 86, 50, 76, 82, 65, 66, 53, 49, 54, 70, 60, 49, 50, 92, 76, 49, 63, 99, 90, 68]",65.85
Mental activity,Physical activity,health,40,"[50, 62, 49, 88, 58, 49, 63, 49, 50, 49, 63, 36, 63, 51, 18, 49, 50, 98, 58, 50, 100, 64, 80, 49, 70, 49, 69, 49, 58, 51, 51, 52, 50, 51, 72, 32, 60, 50, 59, 56]",56.875
Mental activity,Physical activity,sprint,100,"[75, 72, 100, 100, 90, 93, 89, 79, 90, 96, 98, 90, 92, 86, 86, 51, 88, 85, 100, 68, 93, 99, 98, 72, 98, 100, 100, 86, 99, 9, 3, 97, 100, 90, 96, 90, 96, 94, 76, 95]",85.475
Messy food,Clean food,Big Mac,20,"[27, 20, 43, 19, 51, 21, 14, 71, 26, 52, 51, 18, 55, 1, 26, 24, 8, 41, 35, 90, 16, 45, 17, 36, 21, 39, 34, 20, 36, 69, 37, 25, 9, 22, 16, 36, 32, 33, 26, 30]",32.3
Messy food,Clean food,grilled cheese sandwich,55,"[41, 40, 88, 6, 29, 35, 88, 32, 62, 6, 64, 83, 42, 50, 42, 33, 68, 88, 49, 96, 72, 35, 84, 43, 55, 43, 15, 53, 0, 23, 34, 80, 51, 74, 79, 20, 21, 100, 23, 49]",49.9
Nature,Nurture,intelligence,45,"[77, 39, 51, 58, 81, 50, 65, 13, 37, 30, 77, 27, 61, 35, 66, 45, 51, 71, 84, 50, 60, 31, 93, 81, 49, 8, 63, 73, 67, 48, 25, 6, 35, 51, 67, 57, 49, 25, 50, 44]",51.25
Nature,Nurture,hugs,85,"[83, 90, 95, 84, 78, 51, 94, 84, 51, 94, 88, 65, 52, 100, 93, 72, 68, 84, 100, 46, 88, 91, 83, 85, 99, 88, 79, 86, 97, 10, 1, 71, 100, 100, 94, 100, 96, 96, 79, 73]",79.7
Need,Want,sustenance,15,"[31, 18, 48, 15, 17, 2, 22, 3, 15, 14, 79, 8, 51, 51, 5, 20, 84, 9, 48, 28, 51, 4, 81, 4, 30, 10, 51, 6, 50, 4, 2, 11, 11, 24, 0, 0, 27, 18, 16, 12]",24.5
Need,Want,luxury purse,95,"[77, 78, 88, 88, 85, 87, 9, 100, 92, 95, 83, 100, 97, 100, 83, 92, 100, 100, 88, 92, 98, 93, 100, 99, 94, 82, 84, 95, 100, 67, 91, 98, 99, 83, 85, 85, 94, 99, 89, 87]",88.9
Nobody does it,Everybody does it,strippers,15,"[3, 45, 33, 16, 8, 6, 13, 16, 8, 28, 25, 23, 49, 49, 33, 13, 9, 41, 17, 22, 33, 14, 26, 27, 7, 49, 17, 58, 34, 25, 3, 4, 54, 28, 15, 11, 19, 71, 13, 17]",24.55
Nobody does it,Everybody does it,brush twice a day,65,"[69, 66, 52, 53, 95, 67, 76, 78, 69, 42, 96, 83, 90, 59, 50, 84, 50, 34, 49, 84, 63, 1, 89, 88, 79, 60, 49, 88, 5, 34, 79, 83, 49, 50, 94, 91, 88, 40, 88, 62]",65.65
Normal pet,Exotic pet,cat,0,"[0, 100, 6, 39, 6, 4, 8, 14, 14, 12, 4, 0, 0, 10, 2, 4, 14, 24, 9, 8, 11, 3, 100, 10, 29, 0, 4, 1, 17, 10, 10, 3, 2, 0, 14, 8, 3, 24, 0, 9]",13.4
Normal pet,Exotic pet,horse,60,"[71, 46, 44, 62, 57, 64, 71, 48, 64, 91, 74, 67, 46, 11, 57, 49, 69, 67, 31, 78, 44, 77, 66, 92, 75, 64, 35, 70, 77, 86, 49, 76, 61, 98, 90, 33, 98, 60, 60, 87]",64.125
Not enough,Too much,found wanting,20,"[48, 3, 19, 21, 19, 17, 10, 27, 22, 16, 7, 29, 6, 21, 8, 17, 12, 50, 19, 24, 91, 8, 1, 21, 68, 24, 33, 9, 18, 11, 55, 12, 48, 22, 14, 14, 1, 12, 93, 17]",24.175
Not enough,Too much,extreme,95,"[100, 100, 88, 100, 100, 95, 97, 99, 100, 100, 89, 100, 95, 100, 100, 95, 100, 100, 79, 99, 100, 100, 100, 91, 91, 99, 91, 100, 90, 81, 100, 93, 94, 84, 96, 95, 83, 100, 92, 98]",95.35
Optional,Mandatory,dressing in casual clothes,30,"[47, 9, 20, 32, 73, 28, 17, 17, 21, 34, 17, 9, 40, 5, 4, 51, 23, 11, 41, 10, 51, 17, 14, 46, 2, 19, 19, 18, 35, 0, 1, 0, 53, 28, 18, 41, 35, 87, 46, 7]",26.15
Optional,Mandatory,should go,65,"[12, 51, 68, 81, 60, 95, 76, 4, 80, 51, 94, 15, 66, 84, 0, 98, 88, 0, 84, 86, 21, 60, 74, 32, 12, 16, 21, 73, 28, 5, 31, 75, 57, 99, 60, 67, 62, 27, 29, 66]",52.7
Plain,Fancy,simple,25,"[22, 30, 24, 6, 26, 1, 17, 15, 16, 12, 11, 1, 15, 25, 19, 13, 5, 50, 14, 26, 16, 42, 12, 15, 8, 18, 0, 7, 20, 8, 4, 14, 5, 11, 16, 23, 7, 6, 8, 16]",15.1
Plain,Fancy,Michelin star restaurants,90,"[88, 93, 96, 80, 97, 72, 86, 83, 100, 90, 88, 94, 77, 98, 100, 99, 92, 75, 91, 92, 80, 95, 98, 100, 58, 87, 95, 95, 89, 90, 95, 98, 72, 95, 91, 78, 92, 87, 92, 90]",89.2
Quiet place,Loud place,meadow,20,"[9, 49, 58, 9, 15, 14, 11, 12, 16, 10, 29, 5, 8, 43, 50, 11, 11, 5, 35, 10, 49, 29, 89, 19, 7, 11, 20, 10, 0, 6, 13, 22, 19, 10, 0, 7, 5, 2, 8, 7]",18.575
Quiet place,Loud place,rock concert speaker stack,100,"[91, 83, 78, 92, 90, 100, 93, 100, 100, 98, 95, 91, 100, 96, 100, 100, 96, 69, 91, 91, 100, 90, 89, 100, 94, 87, 97, 78, 96, 99, 97, 100, 28, 96, 81, 95, 100, 78, 99, 90]",91.2
Rare,Common,divorce,45,"[70, 59, 77, 61, 50, 75, 83, 61, 40, 50, 65, 58, 59, 50, 57, 62, 62, 70, 92, 83, 66, 82, 73, 54, 70, 49, 70, 73, 50, 93, 4, 49, 66, 100, 93, 83, 60, 47, 80, 75]",65.525
Rare,Common,smartphone,75,"[84, 73, 100, 85, 81, 71, 97, 100, 94, 87, 81, 89, 67, 81, 76, 86, 92, 78, 88, 94, 87, 97, 95, 100, 80, 72, 96, 94, 81, 93, 95, 99, 78, 71, 91, 86, 100, 88, 100, 90]",87.425
Short,Long,a second,5,"[67, 5, 26, 18, 1, 0, 7, 17, 1, 6, 4, 4, 13, 1, 0, 10, 9, 6, 4, 21, 2, 2, 2, 2, 78, 7, 0, 6, 4, 5, 47, 8, 1, 0, 85, 7, 0, 1, 21, 12]",12.75
Short,Long,Hollywood movie,60,"[59, 68, 58, 49, 51, 87, 49, 76, 61, 78, 84, 69, 80, 70, 77, 64, 84, 49, 51, 77, 70, 66, 89, 62, 87, 84, 62, 58, 51, 95, 59, 66, 45, 63, 32, 61, 80, 77, 59, 62]",66.725
Small talk,Heavy topic,weekend plans,25,"[0, 27, 20, 8, 11, 40, 56, 8, 13, 49, 10, 16, 14, 16, 17, 9, 18, 76, 73, 11, 15, 9, 6, 13, 67, 49, 18, 11, 70, 14, 10, 26, 3, 28, 24, 16, 8, 35, 0, 8]",23.05
Small talk,Heavy topic,discussion,80,"[49, 81, 76, 78, 71, 64, 66, 76, 87, 70, 49, 65, 83, 25, 75, 83, 49, 49, 54, 88, 65, 91, 76, 76, 74, 52, 90, 63, 70, 70, 98, 54, 66, 69, 90, 65, 54, 89, 90, 72]",70.3
Snack,Meal,crackers,10,"[74, 0, 49, 11, 9, 12, 15, 10, 10, 13, 1, 5, 10, 13, 17, 7, 3, 9, 18, 12, 20, 0, 20, 8, 11, 12, 0, 11, 7, 6, 0, 29, 59, 14, 12, 4, 5, 36, 3, 2]",13.925
Snack,Meal,soup,65,"[89, 54, 82, 65, 76, 50, 77, 67, 84, 57, 51, 49, 64, 70, 70, 46, 50, 77, 36, 29, 83, 84, 35, 63, 81, 62, 80, 78, 73, 64, 99, 72, 49, 78, 100, 84, 0, 75, 81, 49]",65.825
Soft,Hard,breast,30,"[0, 12, 7, 21, 22, 28, 12, 5, 0, 27, 17, 19, 13, 16, 24, 16, 27, 13, 22, 0, 22, 10, 0, 27, 4, 14, 9, 0, 4, 8, 12, 31, 16, 21, 12, 24, 18, 18, 13, 50]",15.35
Soft,Hard,book,60,"[49, 17, 62, 100, 59, 73, 55, 48, 49, 60, 53, 78, 83, 8, 65, 29, 29, 92, 64, 63, 81, 76, 90, 75, 53, 60, 50, 77, 100, 49, 65, 50, 59, 50, 61, 76, 84, 17, 49, 62]",60.5
Sport,Game,marathon running,0,"[11, 12, 20, 15, 27, 12, 17, 20, 0, 1, 8, 7, 0, 25, 0, 12, 19, 6, 26, 28, 38, 15, 55, 13, 13, 8, 10, 28, 0, 0, 14, 49, 17, 50, 10, 12, 21, 96, 0, 18]",18.325
Sport,Game,table tennis,50,"[51, 49, 51, 49, 49, 32, 11, 73, 48, 49, 18, 77, 51, 39, 49, 34, 25, 34, 76, 50, 67, 55, 48, 15, 55, 16, 46, 4, 51, 51, 78, 45, 42, 50, 62, 37, 55, 26, 49, 47]",45.35
Square,Round,laptop,25,"[19, 8, 22, 20, 17, 0, 7, 15, 2, 7, 21, 0, 6, 0, 11, 31, 12, 26, 0, 23, 4, 0, 0, 12, 15, 0, 0, 30, 0, 38, 96, 0, 1, 10, 94, 0, 0, 4, 17, 19]",14.675
Square,Round,football,75,"[77, 58, 90, 73, 59, 77, 83, 80, 75, 81, 80, 74, 77, 0, 52, 72, 97, 63, 66, 58, 0, 89, 100, 86, 100, 80, 70, 81, 39, 78, 84, 68, 34, 85, 78, 76, 100, 51, 66, 62]",70.475
Talent,Skill,natural,0,"[28, 10, 12, 75, 20, 23, 14, 22, 21, 5, 24, 26, 9, 0, 17, 37, 24, 48, 38, 22, 14, 3, 5, 15, 93, 39, 28, 9, 39, 14, 31, 11, 9, 0, 16, 13, 12, 36, 49, 15]",23.15
Talent,Skill,make PowerPoint slides,70,"[49, 70, 87, 76, 80, 87, 83, 64, 91, 63, 49, 67, 76, 89, 87, 84, 64, 78, 59, 97, 70, 77, 51, 83, 51, 70, 83, 75, 79, 70, 86, 81, 67, 61, 86, 73, 58, 89, 75, 50]",73.375
Temporary,Permanent,seasonal job,15,"[16, 16, 12, 16, 4, 3, 15, 0, 0, 4, 16, 10, 0, 13, 5, 11, 19, 23, 13, 12, 11, 1, 10, 9, 51, 0, 31, 11, 16, 7, 23, 3, 0, 16, 14, 23, 0, 15, 0, 20]",11.725
Temporary,Permanent,death,100,"[100, 87, 100, 100, 100, 88, 100, 100, 50, 100, 100, 98, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 4, 100, 100, 70, 100, 100, 99, 56, 99, 100, 97, 100, 100, 100]",93.7
Unhealthy,Healthy,vape,5,"[17, 6, 4, 82, 0, 15, 4, 0, 7, 6, 6, 4, 8, 0, 15, 22, 31, 100, 16, 13, 12, 0, 8, 15, 18, 31, 3, 16, 23, 1, 31, 26, 1, 11, 13, 0, 0, 10, 50, 0]",15.625
Unhealthy,Healthy,flour,55,"[93, 41, 42, 57, 43, 75, 62, 89, 69, 62, 26, 32, 49, 49, 81, 58, 50, 0, 39, 34, 32, 38, 25, 73, 47, 61, 37, 43, 69, 51, 42, 35, 27, 41, 31, 82, 39, 27, 34, 38]",48.075
Unnatural,Natural,fast food,40,"[20, 25, 31, 44, 27, 20, 18, 35, 18, 13, 43, 23, 0, 33, 27, 21, 22, 39, 10, 61, 12, 18, 37, 74, 53, 27, 1, 9, 19, 34, 1, 44, 49, 24, 95, 24, 0, 18, 41, 34]",28.6
Unnatural,Natural,almond milk,75,"[68, 100, 75, 50, 32, 88, 83, 85, 59, 76, 85, 65, 71, 38, 43, 85, 60, 59, 83, 49, 80, 56, 78, 78, 77, 14, 100, 80, 42, 9, 87, 61, 33, 80, 80, 72, 70, 35, 26, 41]",63.825
Unpopular activity,Popular activity,write poems,40,"[42, 55, 38, 35, 60, 32, 16, 56, 24, 49, 26, 41, 23, 26, 81, 29, 58, 92, 51, 64, 66, 24, 72, 49, 27, 26, 53, 34, 100, 63, 15, 87, 27, 60, 39, 0, 51, 79, 84, 34]",47.2
Unpopular activity,Popular activity,concert,85,"[92, 98, 70, 84, 86, 74, 83, 84, 81, 76, 82, 76, 87, 86, 92, 88, 100, 99, 80, 90, 79, 77, 63, 65, 85, 79, 81, 90, 67, 76, 88, 90, 61, 73, 84, 88, 75, 80, 90, 94]",82.325
Useless major,Useful major,medieval art history,5,"[0, 20, 49, 8, 14, 32, 19, 91, 1, 20, 40, 22, 18, 25, 50, 26, 21, 72, 32, 6, 93, 26, 10, 35, 74, 42, 26, 5, 58, 30, 8, 33, 3, 0, 34, 78, 2, 63, 0, 23]",30.225
Useless major,Useful major,brain surgeon,95,"[90, 94, 83, 86, 97, 97, 93, 90, 77, 94, 94, 100, 99, 89, 50, 87, 100, 95, 100, 75, 92, 98, 96, 94, 100, 95, 99, 97, 97, 100, 1, 97, 92, 98, 93, 82, 100, 92, 87, 95]",89.875
Vice,Virtue,balance,50,"[51, 45, 87, 50, 61, 50, 49, 77, 58, 49, 83, 69, 51, 78, 82, 50, 84, 84, 51, 78, 51, 51, 50, 52, 95, 86, 50, 77, 67, 48, 49, 73, 55, 58, 76, 52, 82, 26, 49, 85]",62.975
Vice,Virtue,joyful,70,"[57, 95, 74, 70, 79, 89, 84, 73, 80, 90, 95, 89, 73, 88, 46, 88, 100, 85, 87, 70, 99, 77, 84, 60, 79, 44, 83, 64, 100, 83, 49, 77, 84, 64, 100, 68, 52, 99, 95, 62]",78.375
Waste of time,Good use of time,video games,30,"[49, 21, 76, 22, 9, 22, 33, 23, 50, 42, 50, 50, 30, 83, 31, 74, 27, 39, 38, 37, 49, 88, 49, 12, 51, 71, 42, 36, 11, 100, 100, 55, 50, 42, 96, 52, 0, 24, 74, 49]",46.425
